Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788368257,v4,v4,75,high,16kbps,medium,5,20,300,79050,9890,69160,12.5111,158.24,0.133552,0.0689158,0,1.62667,exact,0,0.0122713,0.0581683,0,5,0.5,5,0.5,0.75,0.25
1788368324,v4,v4,75,high,16kbps,medium,5,21,300,79050,13435,65615,16.9956,214.96,0.155944,0.0843667,0,1.45333,exact,0,0.0122552,0.0699648,0,5,0.5,5,0.5,0.75,0.25
1788369016,v4,v4,75,high,16kbps,medium,5,22,300,79050,10659,68391,13.4839,170.544,0.164382,0.0793548,0,1.65333,exact,0,0.0129718,0.104878,0,5,0.5,5,0.5,0.75,0.25
1788369100,v4,v4,75,high,16kbps,medium,5,23,300,79050,14904,64146,18.8539,238.464,0.151176,0.0756507,0,1.65333,exact,0,0.0141765,0.0981197,0,5,0.5,5,0.5,0.75,0.25
1788369127,v4,v4,75,high,16kbps,medium,5,24,300,79050,2532,76518,3.20304,40.512,0.0737836,0.0432069,0,1.52,exact,0,0.00771204,0.0228096,0,5,0.5,5,0.5,0.75,0.25
1788369200,v4,v4,75,high,16kbps,medium,5,25,300,79050,13168,65882,16.6578,210.688,0.135481,0.073028,0,1.49333,exact,0,0.0145587,0.108349,0,5,0.5,5,0.5,0.75,0.25
1788369268,v4,v4,75,high,16kbps,medium,5,26,300,79050,13582,65468,17.1815,217.312,0.171597,0.0810286,0,1.57333,exact,0,0.0132095,0.094295,0,5,0.5,5,0.5,0.75,0.25
1788369352,v4,v4,75,high,16kbps,medium,5,27,300,79050,12586,66464,15.9216,201.376,0.160241,0.0822726,0,1.61333,exact,0,0.0120428,0.0594278,0,5,0.5,5,0.5,0.75,0.25
1788369414,v4,v4,75,high,16kbps,medium,5,28,300,79050,6758,72292,8.54902,108.128,0.0961124,0.0545001,0,1.57333,exact,0,0.0127024,0.0600115,0,5,0.5,5,0.5,0.75,0.25
1788369488,v4,v4,75,high,16kbps,medium,5,29,300,79050,10212,68838,12.9184,163.392,0.152602,0.0819197,0,1.6,exact,0,0.012938,0.0763546,0,5,0.5,5,0.5,0.75,0.25
1788369544,v4,v4,75,high,16kbps,medium,5,30,300,79050,8468,70582,10.7122,135.488,0.143539,0.0771624,0,1.61333,exact,0,0.0124603,0.0669696,0,5,0.5,5,0.5,0.75,0.25
