Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788349240,v4,v4,75,low,4kbps,medium,5,20,300,19725,2153,17572,10.9151,34.448,0.0918421,0.0438275,0,1.62667,exact,0,0.00386773,0.0180019,0,5,0.5,5,0.5,0.75,0.25
1788349257,v4,v4,75,low,4kbps,medium,5,21,300,19725,3064,16661,15.5336,49.024,0.10802,0.0569528,0,1.45333,exact,0,0.00403006,0.0186624,0,5,0.5,5,0.5,0.75,0.25
1788349276,v4,v4,75,low,4kbps,medium,5,22,300,19725,1763,17962,8.9379,28.208,0.0972952,0.0503587,0,1.65333,exact,0,0.00396905,0.0353894,0,5,0.5,5,0.5,0.75,0.25
1788349295,v4,v4,75,low,4kbps,medium,5,23,300,19725,2827,16898,14.3321,45.232,0.111024,0.0559209,0,1.65333,exact,0,0.00395512,0.0300902,0,5,0.5,5,0.5,0.75,0.25
1788349312,v4,v4,75,low,4kbps,medium,5,24,300,19725,2658,17067,13.4753,42.528,0.103436,0.0508591,0,1.52,exact,0,0.00370237,0.0186931,0,5,0.5,5,0.5,0.75,0.25
1788349329,v4,v4,75,low,4kbps,medium,5,25,300,19725,3031,16694,15.3663,48.496,0.104178,0.0515724,0,1.49333,exact,0,0.00482017,0.0320102,0,5,0.5,5,0.5,0.75,0.25
1788349347,v4,v4,75,low,4kbps,medium,5,26,300,19725,2874,16851,14.5703,45.984,0.126996,0.0572938,0,1.57333,exact,0,0.00447471,0.022103,0,5,0.5,5,0.5,0.75,0.25
1788349367,v4,v4,75,low,4kbps,medium,5,27,300,19725,2734,16991,13.8606,43.744,0.122616,0.0558534,0,1.61333,exact,0,0.00399125,0.0176026,0,5,0.5,5,0.5,0.75,0.25
1788349382,v4,v4,75,low,4kbps,medium,5,28,300,19725,1255,18470,6.36248,20.08,0.063456,0.0362993,0,1.57333,exact,0,0.00365208,0.0149146,0,5,0.5,5,0.5,0.75,0.25
1788349401,v4,v4,75,low,4kbps,medium,5,29,300,19725,2143,17582,10.8644,34.288,0.122489,0.057528,0,1.6,exact,0,0.00435268,0.0233318,0,5,0.5,5,0.5,0.75,0.25
1788349412,v4,v4,75,low,4kbps,medium,5,30,300,19725,1319,18406,6.68695,21.104,0.0701097,0.0417232,0,1.61333,exact,0,0.00391805,0.0154368,0,5,0.5,5,0.5,0.75,0.25
