protocol,nodes,metric,trials,mean,std,min,max
aodv,10,PDR,5,70.5078,25.085502063741917,29.9634,98.0645
aodv,10,ThroughputKbps,5,59.4067,21.21101634823282,25.1849,82.7945
aodv,10,PacketLoss,5,411.8,342.18956734535317,27.0,956.0
aodv,10,AverageDelaySec,5,0.04255338,0.01649558034541374,0.014724,0.0565359
olsr,10,PDR,5,49.57354,18.423223759782108,20.0,70.0
olsr,10,ThroughputKbps,5,41.607780000000005,15.46286567722814,16.7863,58.752
olsr,10,PacketLoss,5,685.8,250.55578221226506,408.0,1088.0
olsr,10,AverageDelaySec,5,0.024771348,0.010384508917253623,0.00785734,0.0355081
static,10,PDR,5,53.52942,29.631221030055446,30.0,97.7206
static,10,ThroughputKbps,5,44.928,24.869915402248555,25.1794,82.0183
static,10,PacketLoss,5,632.0,402.98449101671395,31.0,952.0
static,10,AverageDelaySec,5,0.03077048,0.01880513489148642,0.0132704,0.0581304
aodv,20,PDR,5,52.49426,19.55905783155211,30.0618,80.4313
aodv,20,ThroughputKbps,5,88.39442,32.7610438729751,50.6441,135.152
aodv,20,PacketLoss,5,1334.0,521.9157020056017,608.0,1924.0
aodv,20,AverageDelaySec,5,0.0664218,0.025085580587660316,0.0429762,0.105952
olsr,20,PDR,5,25.08824,9.472238406680862,15.0,35.2941
olsr,20,ThroughputKbps,5,42.11384,15.900367117239776,25.1794,59.2457
olsr,20,PacketLoss,5,2037.6,257.6447166157304,1760.0,2312.0
olsr,20,AverageDelaySec,5,0.02046082,0.008388317264028585,0.0115021,0.0291804
static,20,PDR,5,36.88972,11.984891229251938,20.0,49.7059
static,20,ThroughputKbps,5,61.92412,20.11816114265914,33.5726,83.4377
static,20,PacketLoss,5,1716.6,325.98895686817366,1368.0,2176.0
static,20,AverageDelaySec,5,0.04265104,0.008841257266248957,0.0335231,0.0568437
aodv,30,PDR,5,45.36506,4.450323236350366,40.177,52.3728
aodv,30,ThroughputKbps,5,116.6866,8.988887489561758,107.923,131.545
aodv,30,PacketLoss,5,2752.0,233.80975172135143,2499.0,3131.0
aodv,30,AverageDelaySec,5,0.09837536,0.015553239384867709,0.0831807,0.121324
olsr,30,PDR,5,24.470584,9.982727301257908,7.54902,31.6667
olsr,30,ThroughputKbps,5,61.615539999999996,25.135926465181264,19.008,79.7349
olsr,30,PacketLoss,5,3081.6,407.2951018610462,2788.0,3772.0
olsr,30,AverageDelaySec,5,0.0391102,0.010026692576817143,0.0221731,0.0484067
static,30,PDR,5,29.98038,16.984728397357433,0.0,40.0
static,30,ThroughputKbps,5,75.4889,42.76657863074857,0.0,100.718
static,30,PacketLoss,5,2856.8,692.9770558972353,2448.0,4080.0
static,30,AverageDelaySec,5,0.03907374,0.022076504990102035,0.0,0.0519326
aodv,50,PDR,5,27.16076,6.702187024621142,16.8582,32.9219
aodv,50,ThroughputKbps,5,111.99806,24.516357668258966,74.6203,138.353
aodv,50,PacketLoss,5,9569.8,1089.910867915354,7681.0,10273.0
aodv,50,AverageDelaySec,5,0.1967488,0.02628288391139755,0.164486,0.226312
olsr,50,PDR,5,19.99706,11.904595055817733,0.0,29.2647
olsr,50,ThroughputKbps,5,83.91896,49.9583634797318,0.0,122.811
olsr,50,PacketLoss,5,5440.2,809.5123223274616,4810.0,6800.0
olsr,50,AverageDelaySec,5,0.04566746,0.02938272487326524,0.0,0.0772976
static,50,PDR,5,23.57942,10.50564805911563,12.0,39.9559
static,50,ThroughputKbps,5,98.95276,44.08776463819639,50.3589,167.678
static,50,PacketLoss,5,5196.6,714.3835104479946,4083.0,5984.0
static,50,AverageDelaySec,5,0.0587017,0.02248509445088012,0.0365928,0.0861685
